age,income,previous_purchase,will_purchase
39,74191,No,Yes
24,75804,No,Yes
33,28310,Yes,No
44,57470,No,No
41,59416,No,Yes
65,27605,No,Yes
49,33260,No,Yes
40,74823,No,No
27,30211,No,Yes
66,25605,No,No
67,59903,Yes,Yes
32,47804,No,No
37,79032,No,No
47,60838,No,Yes
40,54614,No,No
26,48920,No,Yes
51,75738,Yes,Yes
44,67144,No,No
40,30011,Yes,No
44,78242,No,Yes
24,58158,No,No
20,43439,No,No
49,62571,Yes,No
67,78891,No,Yes
56,56619,Yes,No
47,58402,No,No
32,23498,No,No
30,70379,Yes,Yes
48,22325,No,Yes
46,31784,Yes,No
68,31240,Yes,Yes
34,60804,Yes,Yes
50,42283,Yes,Yes
31,42129,Yes,No
46,38746,Yes,Yes
64,34089,No,No
51,51667,No,No
25,28720,Yes,No
65,39800,No,Yes
62,63221,Yes,No
29,50477,Yes,Yes
42,77637,Yes,No
45,20373,Yes,Yes
56,25745,No,No
64,38726,Yes,Yes
20,71068,No,Yes
36,38975,No,No
62,67030,No,Yes
25,36407,No,Yes
61,43098,No,Yes
30,52203,No,Yes
51,45452,No,Yes
55,69478,No,No
38,30255,Yes,No
20,52395,Yes,Yes
20,60592,Yes,Yes
35,61889,Yes,Yes
37,32097,Yes,Yes
69,75311,No,Yes
47,21401,Yes,Yes
23,37964,Yes,No
49,21227,No,Yes
39,45716,Yes,Yes
65,75929,Yes,Yes
41,40429,Yes,Yes
44,51680,Yes,Yes
26,70895,Yes,Yes
38,57110,No,Yes
27,37897,No,Yes
37,48039,No,No
38,73908,No,Yes
57,76891,No,No
21,38044,No,Yes
58,32469,No,Yes
24,43759,Yes,No
34,58226,Yes,Yes
66,59735,No,Yes
64,32061,Yes,No
40,59537,No,No
60,20550,Yes,No
41,28142,No,Yes
32,70492,Yes,No
26,67698,Yes,Yes
63,76650,Yes,Yes
66,75047,No,Yes
50,69612,Yes,No
21,70888,Yes,Yes
69,65938,Yes,Yes
37,63313,Yes,No
31,61948,Yes,Yes
49,43283,No,Yes
38,75245,No,No
69,41767,Yes,Yes
30,39243,No,Yes
55,41722,Yes,Yes
62,30889,Yes,Yes
67,79956,Yes,No
24,68330,No,No
49,23855,Yes,Yes
43,31279,Yes,No
66,55705,No,No
39,62018,No,No
47,30145,No,Yes
27,52141,No,Yes
24,63200,Yes,Yes
66,78295,Yes,Yes
47,75479,No,Yes
57,62031,No,Yes
26,55353,No,Yes
25,37986,No,No
32,76079,No,Yes
23,55354,Yes,Yes
25,60239,No,No
37,56994,Yes,Yes
39,68713,No,No
64,48244,Yes,Yes
41,52435,No,Yes
29,51892,Yes,Yes
54,21329,No,Yes
